Jurisdiction,Force Area,Crime Rate
Leeds,West Yorkshire Police,140.83
Liverpool,Merseyside Police,141.62
Hartlepool,Cleveland Police,153.47
Manchester,Greater Manchester Police,181.5
Middlesbrough,Cleveland Police,183.78
Mean Jurisdiction,,82.64488805970149
